,Stock_1,Stock_2,Stock_3,Stock_4,Stock_5,Stock_6,Stock_7,Stock_8,Stock_9,Stock_10
2013-01-01,47.921002214498394,70.53944599900355,55.29392874545091,51.009687646590294,82.31213787232736,32.62443456916171,50.81453474387514,28.24089055524471,30.074796519525215,66.01348554958977
2013-01-02,48.0276277258652,70.8493118282182,54.81912918628834,51.10672989966898,82.41356469497525,32.33645507619531,50.95746142913553,28.431387235120123,30.427018939826713,66.85053873951658
2013-01-03,47.41168505044213,70.10894446535298,55.04854468895557,51.30983787494817,82.91940955605098,33.31473020290121,51.24593906369246,28.82724882517207,30.728069198645812,67.47575392525191
2013-01-04,47.29127898424295,70.67969978078622,54.6297223197703,51.24466429067654,82.51390771133578,33.31822623170598,52.23682611318308,28.29801108800863,30.941143491410315,66.33170608009745
2013-01-07,47.099136532120646,71.50004651635012,54.68938507962872,50.85334260408767,81.86371479817849,33.47427302817206,51.926135537634046,28.34403218006164,30.94350068807222,65.7937701277419
2013-01-08,48.12030345258499,72.07792373352021,53.661919767024585,51.00368752390727,81.34554808875114,33.692134849587944,51.585178210142914,28.354673674695572,31.130408451142184,66.47339499375894
2013-01-09,47.58544618419975,71.7908725980737,53.35782483466515,50.74999876868542,82.8546517394101,33.781904376557286,51.04643016387497,28.615895570923882,31.795803242945105,67.22485784288739
2013-01-10,46.91027860415517,71.37928987717814,54.00683190412031,50.479437461677286,83.22510912947907,33.979977756080935,50.67405890760094,28.56201127104189,30.715854221500436,66.34116908721174
2013-01-11,46.819777668984564,70.44171543033228,54.9001801491062,49.95894073425878,82.74898405254518,34.000015534681225,51.29204749856497,28.13257865080351,31.065394998257965,66.36662945486722
2013-01-14,46.39830807773315,70.76670093898983,55.00113013514557,49.74514686332824,82.80852777796208,33.888477281384965,51.341619828081406,28.324469683262176,31.57215491121073,65.42936746258464
2013-01-15,47.39923444804056,69.40116444351686,54.959104315035894,50.042475688161154,83.11428536800264,33.75327469116809,51.26315349108853,28.222641055796558,31.403424842931386,66.07674974654738
2013-01-16,47.58997558693969,68.917067737965,55.48334789925833,50.20611285448592,83.91175634632872,33.95732337264439,50.95415637336578,28.07894501416706,31.658330723434556,66.57844008511671
2013-01-17,47.60563837957116,69.01568094211497,56.23932779842758,50.02177660819218,84.42751251493338,33.933648333726204,50.897171454183024,28.435668344823604,31.962677943415077,67.26004676120615
2013-01-18,48.2415450634212,69.0910189874093,56.704456760139266,49.97248427392455,84.7690590377047,33.93760182480131,50.974693985550815,28.676560867103806,31.747898013070845,68.98524988854545
2013-01-21,47.79584696392405,68.1812947969771,57.33025080177596,50.28964383299967,85.4222645451964,34.128975630692864,51.00369834208257,28.408472883995348,31.754305918317606,68.47088685078069
2013-01-22,48.27844110324451,68.12206725431692,56.88997395510987,50.217182680720086,85.80828044713147,33.98082197799429,50.65253352240669,28.496583676769493,31.84448712542705,68.03818322763631
2013-01-23,48.08270702071156,68.28699564252712,56.043049704352484,49.692342124749864,85.04450736318557,33.85620273458102,50.73583312713678,28.929448352883803,32.102899868212845,67.84012542873229
2013-01-24,48.099416714687266,67.57438001757623,56.01848839494199,49.61018147591985,85.32652023919455,33.632504242273626,50.9467294691522,29.426597224645317,32.07823793912661,68.15467433345479
2013-01-25,48.450184769710745,67.32332105401653,56.17880991015777,49.66479800051259,85.46102520549836,33.450076761087324,50.9690972313877,29.612288481399688,32.58682316268203,68.95084331507702
2013-01-28,49.50510578815244,66.86289636907557,56.76790171556576,49.820653137198946,87.57514031838723,33.32190463518657,50.672480606658134,29.503191896445035,31.947053070457514,68.60216060297522
2013-01-29,49.16601419867712,66.9565544327204,56.95699368220811,50.566146493751326,88.68438037524115,33.229088635379256,50.33642375153246,29.67531824629329,31.53395685957048,70.10668513062885
2013-01-30,49.76153732419486,66.67643579414202,56.00109462001991,51.1454054390936,88.70370034030583,33.556040577530176,49.6816778921597,29.50519502369111,31.529052728276625,70.11298746763359
2013-01-31,49.5699319858597,67.1172313682941,55.39657211033044,51.11154735570883,88.84138305133025,33.67208226848123,49.97341576065497,29.171596598434807,31.01963683592086,71.1750111786011
2013-02-01,49.75741582049397,66.60879386978007,56.30175758111148,51.206500438948936,90.04190023726332,33.74286328980914,50.890550710541405,29.833718516990416,31.017812014077073,72.20274227962386
2013-02-04,50.09838909986489,67.62190271697884,55.81572420613332,51.53164618301549,91.21068091151301,33.32780172743091,50.408950370167,29.200559526941564,30.941509350179103,72.80006550291297
2013-02-05,50.86519977968738,67.74089261597138,56.84190222091312,51.0700325678655,89.53812001590028,33.32469795969585,50.59433107806623,29.216312394774253,30.31898221728004,72.73231186383931
2013-02-06,50.248738038424435,68.19255775186583,57.03817697448243,50.7135319061509,89.01894093219815,33.02962942717596,50.55523413659167,29.478096090995262,29.99497925952064,73.08183893622157
2013-02-07,50.0161106787817,67.61381016265176,56.94613950011229,50.32838655561213,88.41053774560622,32.68422106469644,51.35323830336573,29.49178757178818,29.76079462187711,73.24404804373384
2013-02-08,49.987964495071864,67.4639588377675,57.31335504288417,50.65826639319436,88.0235174132408,32.561832961575014,51.25535801743847,28.763136523930488,29.277502845968986,74.37493933201493
2013-02-11,50.82374817287922,67.35556801974184,57.7305699103365,50.856611687931874,91.08076524587412,32.929974440214885,51.2839544475076,28.589668494156157,28.86634850369316,74.74791224093279
2013-02-12,50.476994333618165,66.33020528078013,57.289672572956285,50.43958276782758,92.61936233637036,33.11960892026562,51.26622952531875,29.056648630014852,28.87384207116461,73.97078661190385
2013-02-13,51.25998447323714,66.77724262558905,56.76511489881557,50.4335252959293,91.79779759563327,32.76522951220457,51.64921429006471,29.711911523993816,28.509527604574174,74.50323260799662
2013-02-14,50.962785172197655,66.42222029333733,56.3923231885932,50.11246803791908,91.77477189458618,32.51771541529848,51.73398520649987,29.67226112110232,28.40896970550337,73.64111978871809
